LOCAL,LATITUDE,LONGITUDE,MUNICIPIO,UF
NOVO TIRADENTES-RS,"-27,56","-53,18",NOVO TIRADENTES,RS
NOVO TRIUNFO-BA,"-10,31","-38,4",NOVO TRIUNFO,BA
NOVORIZONTE-MG,"-16,01","-42,4",NOVORIZONTE,MG
NUPORANGA-SP,"-20,73","-47,73",NUPORANGA,SP
OBIDOS-PA,"-1,91","-55,51",OBIDOS,PA
OCARA-CE,"-4,49","-38,59",OCARA,CE
OCAUCU-SP,"-22,43","-49,92",OCAUCU,SP
OEIRAS DO PARA-PA,-2,"-49,85",OEIRAS DO PARA,PA
OEIRAS-PI,"-7,02","-42,13",OEIRAS,PI
OIAPOQUE-AP,"3,84","-51,83",OIAPOQUE,AP
OLARIA-MG,"-21,86","-43,93",OLARIA,MG
OLEO-SP,"-22,94","-49,34",OLEO,SP
OLHO D'AGUA DAS CUNHAS-MA,"-3,94","-45,11",OLHO D'AGUA DAS CUNHAS,MA
OLHO D'AGUA DAS FLORES-AL,"-9,53","-37,29",OLHO D'AGUA DAS FLORES,AL
OLHO D'AGUA DO CASADO-AL,"-9,5","-37,83",OLHO D'AGUA DO CASADO,AL
OLHO D'AGUA DO PIAUI-PI,"-5,84","-42,57",OLHO D'AGUA DO PIAUI,PI
OLHO D'AGUA GRANDE-AL,"-10,05","-36,81",OLHO D'AGUA GRANDE,AL
OLHO D'AGUA-PB,"-7,22","-37,75",OLHO D'AGUA,PB
OLHO-D'AGUA DO BORGES-RN,"-5,95","-37,7",OLHO-D'AGUA DO BORGES,RN
OLHOS-D'AGUA-MG,"-17,39","-43,57",OLHOS-D'AGUA,MG
OLIMPIA-SP,"-20,73","-48,91",OLIMPIA,SP
OLIMPIO NORONHA-MG,"-22,06","-45,26",OLIMPIO NORONHA,MG
OLINDA NOVA DO MARANHAO-MA,"-2,99","-44,99",OLINDA NOVA DO MARANHAO,MA
OLINDA-PE,-8,"-34,85",OLINDA,PE
OLINDINA-BA,"-11,36","-38,33",OLINDINA,BA
OLIVEDOS-PB,"-6,99","-36,24",OLIVEDOS,PB
OLIVEIRA DE FATIMA-TO,"-10,7","-48,9",OLIVEIRA DE FATIMA,TO
OLIVEIRA DOS BREJINHOS-BA,"-12,31","-42,89",OLIVEIRA DOS BREJINHOS,BA
OLIVEIRA FORTES-MG,"-21,33","-43,45",OLIVEIRA FORTES,MG
OLIVEIRA-MG,"-20,69","-44,82",OLIVEIRA,MG
OLIVENCA-AL,"-9,51","-37,19",OLIVENCA,AL
ONCA DE PITANGUI-MG,"-19,73","-44,8",ONCA DE PITANGUI,MG
ONDA VERDE-SP,"-20,6","-49,29",ONDA VERDE,SP
ORATORIOS-MG,"-20,43","-42,8",ORATORIOS,MG
ORIENTE-SP,"-22,15","-50,09",ORIENTE,SP
ORINDIUVA-SP,"-20,18","-49,35",ORINDIUVA,SP
ORIXIMINA-PA,"-1,76","-55,86",ORIXIMINA,PA
ORIZANIA-MG,"-20,5","-42,21",ORIZANIA,MG
ORIZONA-GO,"-17,03","-48,29",ORIZONA,GO
ORLANDIA-SP,"-20,72","-47,88",ORLANDIA,SP
ORLEANS-SC,"-28,35","-49,29",ORLEANS,SC
OROBO-PE,"-7,74","-35,6",OROBO,PE
OROCO-PE,"-8,62","-39,6",OROCO,PE
OROS-CE,"-6,24","-38,91",OROS,CE
ORTIGUEIRA-PR,"-24,2","-50,94",ORTIGUEIRA,PR
OSASCO-SP,"-23,53","-46,79",OSASCO,SP
OSCAR BRESSANE-SP,"-22,31","-50,28",OSCAR BRESSANE,SP
OSORIO-RS,"-29,88","-50,27",OSORIO,RS
OSVALDO CRUZ-SP,"-21,79","-50,87",OSVALDO CRUZ,SP
OTACILIO COSTA-SC,"-27,48","-50,12",OTACILIO COSTA,SC
OUREM-PA,"-1,54","-47,11",OUREM,PA
OURICANGAS-BA,"-12,01","-38,61",OURICANGAS,BA
OURICURI-PE,"-7,88","-40,08",OURICURI,PE
OURILANDIA DO NORTE-PA,"-6,75","-51,08",OURILANDIA DO NORTE,PA
OURINHOS-SP,"-22,97","-49,87",OURINHOS,SP
OURIZONA-PR,"-23,4","-52,19",OURIZONA,PR
OURO BRANCO-AL,"-9,16","-37,35",OURO BRANCO,AL
OURO BRANCO-MG,"-20,52","-43,69",OURO BRANCO,MG
OURO BRANCO-RN,"-6,7","-36,94",OURO BRANCO,RN
OURO FINO-MG,"-22,28","-46,36",OURO FINO,MG
OURO PRETO DO OESTE-RO,"-10,71","-62,24",OURO PRETO DO OESTE,RO
OURO PRETO-MG,"-20,28","-43,5",OURO PRETO,MG
OURO VELHO-PB,"-7,62","-37,15",OURO VELHO,PB
OURO VERDE DE GOIAS-GO,"-16,22","-49,19",OURO VERDE DE GOIAS,GO
OURO VERDE DE MINAS-MG,"-18,07","-41,27",OURO VERDE DE MINAS,MG
OURO VERDE DO OESTE-PR,"-24,8","-53,9",OURO VERDE DO OESTE,PR
OURO VERDE-SC,"-26,69","-52,31",OURO VERDE,SC
OURO VERDE-SP,"-21,48","-51,7",OURO VERDE,SP
OUROESTE-SP,-20,"-50,37",OUROESTE,SP
OUROLANDIA-BA,"-10,97","-41,08",OUROLANDIA,BA
OURO-SC,"-27,34","-51,61",OURO,SC
OUVIDOR-GO,"-18,23","-47,83",OUVIDOR,GO
PACAEMBU-SP,"-21,56","-51,26",PACAEMBU,SP
PACAJA-PA,"-3,83","-50,63",PACAJA,PA
PACAJUS-CE,"-4,17","-38,46",PACAJUS,CE
PACARAIMA-RR,"4,43","-61,14",PACARAIMA,RR
PACATUBA-CE,"-3,98","-38,62",PACATUBA,CE
PACATUBA-SE,"-10,45","-36,65",PACATUBA,SE
PACO DO LUMIAR-MA,"-2,53","-44,1",PACO DO LUMIAR,MA
PACOTI-CE,"-4,22","-38,92",PACOTI,CE
PACUJA-CE,"-3,98","-40,69",PACUJA,CE
PADRE BERNARDO-GO,"-15,16","-48,28",PADRE BERNARDO,GO
PADRE CARVALHO-MG,"-16,36","-42,51",PADRE CARVALHO,MG
PADRE MARCOS-PI,"-7,35","-40,9",PADRE MARCOS,PI
PADRE PARAISO-MG,"-17,07","-41,52",PADRE PARAISO,MG
PAES LANDIM-PI,"-7,77","-42,25",PAES LANDIM,PI
PAI PEDRO-MG,"-15,51","-43,06",PAI PEDRO,MG
PAIAL-SC,"-27,25","-52,49",PAIAL,SC
PAICANDU-PR,"-23,45","-52,04",PAICANDU,PR
PAIM FILHO-RS,"-27,71","-51,76",PAIM FILHO,RS
PAINEIRAS-MG,"-18,9","-45,53",PAINEIRAS,MG
PAINEL-SC,"-27,92","-50,1",PAINEL,SC
PAINS-MG,"-20,37","-45,66",PAINS,MG
PAIVA-MG,"-21,28","-43,41",PAIVA,MG
PAJEU DO PIAUI-PI,"-7,85","-42,82",PAJEU DO PIAUI,PI
PALESTINA DE GOIAS-GO,"-16,73","-51,53",PALESTINA DE GOIAS,GO
PALESTINA DO PARA-PA,"-5,74","-48,31",PALESTINA DO PARA,PA
PALESTINA-AL,"-9,67","-37,32",PALESTINA,AL
PALESTINA-SP,"-20,39","-49,43",PALESTINA,SP
PALHANO-CE,"-4,74","-37,95",PALHANO,CE
PALHOCA-SC,"-27,64","-48,66",PALHOCA,SC
PALMA SOLA-SC,"-26,34","-53,27",PALMA SOLA,SC
PALMACIA-CE,"-4,15","-38,84",PALMACIA,CE
PALMA-MG,"-21,37","-42,31",PALMA,MG
PALMARES DO SUL-RS,"-30,25","-50,51",PALMARES DO SUL,RS
PALMARES PAULISTA-SP,"-21,08","-48,8",PALMARES PAULISTA,SP
PALMARES-PE,"-8,68","-35,59",PALMARES,PE
PALMAS DE MONTE ALTO-BA,"-14,26","-43,16",PALMAS DE MONTE ALTO,BA
PALMAS-PR,"-26,48","-51,99",PALMAS,PR
PALMAS-TO,"-10,16","-48,33",PALMAS,TO
PALMEIRA DAS MISSOES-RS,"-27,89","-53,31",PALMEIRA DAS MISSOES,RS
PALMEIRA DO PIAUI-PI,"-8,72","-44,23",PALMEIRA DO PIAUI,PI
PALMEIRA D'OESTE-SP,"-20,41","-50,76",PALMEIRA D'OESTE,SP
PALMEIRA DOS INDIOS-AL,"-9,4","-36,62",PALMEIRA DOS INDIOS,AL
PALMEIRAIS-PI,"-5,97","-43,06",PALMEIRAIS,PI
PALMEIRANDIA-MA,"-2,64","-44,89",PALMEIRANDIA,MA
PALMEIRANTE-TO,"-7,86","-47,92",PALMEIRANTE,TO
PALMEIRA-PR,"-25,42",-50,PALMEIRA,PR
PALMEIRAS DE GOIAS-GO,"-16,8","-49,92",PALMEIRAS DE GOIAS,GO
PALMEIRAS-BA,"-12,52","-41,55",PALMEIRAS,BA
PALMEIRA-SC,"-27,58","-50,15",PALMEIRA,SC
PALMEIRINA-PE,-9,"-36,32",PALMEIRINA,PE
PALMEIROPOLIS-TO,"-13,04","-48,4",PALMEIROPOLIS,TO
PALMELO-GO,"-17,32","-48,42",PALMELO,GO
PALMINOPOLIS-GO,"-16,79","-50,16",PALMINOPOLIS,GO
