LOCAL,LATITUDE,LONGITUDE,MUNICIPIO,UF
ROSARIO DO IVAI-PR,"-24,27","-51,27",ROSARIO DO IVAI,PR
ROSARIO DO SUL-RS,"-30,25","-54,91",ROSARIO DO SUL,RS
ROSARIO OESTE-MT,"-14,83","-56,42",ROSARIO OESTE,MT
ROSARIO-MA,"-2,93","-44,23",ROSARIO,MA
ROSEIRA-SP,"-22,89","-45,3",ROSEIRA,SP
ROTEIRO-AL,"-9,83","-35,97",ROTEIRO,AL
RUBELITA-MG,"-16,4","-42,26",RUBELITA,MG
RUBIACEA-SP,"-21,3","-50,72",RUBIACEA,SP
RUBIATABA-GO,"-15,16","-49,8",RUBIATABA,GO
RUBIM-MG,"-16,37","-40,53",RUBIM,MG
RUBINEIA-SP,"-20,17",-51,RUBINEIA,SP
RUROPOLIS-PA,"-4,09","-54,91",RUROPOLIS,PA
RUSSAS-CE,"-4,94","-37,97",RUSSAS,CE
RUY BARBOSA-BA,"-12,28","-40,49",RUY BARBOSA,BA
RUY BARBOSA-RN,"-5,88","-35,93",RUY BARBOSA,RN
SABARA-MG,"-19,88","-43,8",SABARA,MG
SABAUDIA-PR,"-23,31","-51,55",SABAUDIA,PR
SABINOPOLIS-MG,"-18,66","-43,08",SABINOPOLIS,MG
SABINO-SP,"-21,46","-49,57",SABINO,SP
SABOEIRO-CE,"-6,54","-39,9",SABOEIRO,CE
SACRAMENTO-MG,"-19,86","-47,44",SACRAMENTO,MG
SAGRADA FAMILIA-RS,"-27,7","-53,13",SAGRADA FAMILIA,RS
SAGRES-SP,"-21,88","-50,95",SAGRES,SP
SAIRE-PE,"-8,32","-35,7",SAIRE,PE
SALDANHA MARINHO-RS,"-28,39","-53,09",SALDANHA MARINHO,RS
SALES OLIVEIRA-SP,"-20,77","-47,83",SALES OLIVEIRA,SP
SALESOPOLIS-SP,"-23,53","-45,84",SALESOPOLIS,SP
SALES-SP,"-21,34","-49,48",SALES,SP
SALETE-SC,"-26,98",-50,SALETE,SC
SALGADINHO-PB,"-7,1","-36,84",SALGADINHO,PB
SALGADINHO-PE,"-7,93","-35,63",SALGADINHO,PE
SALGADO DE SAO FELIX-PB,"-7,35","-35,44",SALGADO DE SAO FELIX,PB
SALGADO FILHO-PR,"-26,17","-53,36",SALGADO FILHO,PR
SALGADO-SE,"-11,03","-37,47",SALGADO,SE
SALGUEIRO-PE,"-8,06","-39,12",SALGUEIRO,PE
SALINAS DA MARGARIDA-BA,"-12,87","-38,76",SALINAS DA MARGARIDA,BA
SALINAS-MG,"-16,17","-42,29",SALINAS,MG
SALINOPOLIS-PA,"-0,62","-47,35",SALINOPOLIS,PA
SALITRE-CE,"-7,28","-40,45",SALITRE,CE
SALMOURAO-SP,"-21,62","-50,86",SALMOURAO,SP
SALOA-PE,"-8,97","-36,68",SALOA,PE
SALTINHO-SC,"-26,6","-53,05",SALTINHO,SC
SALTINHO-SP,"-22,84","-47,67",SALTINHO,SP
SALTO DA DIVISA-MG,-16,"-39,94",SALTO DA DIVISA,MG
SALTO DE PIRAPORA-SP,"-23,64","-47,57",SALTO DE PIRAPORA,SP
SALTO DO CEU-MT,"-15,13","-58,12",SALTO DO CEU,MT
SALTO DO ITARARE-PR,"-23,6","-49,62",SALTO DO ITARARE,PR
SALTO DO JACUI-RS,"-29,08","-53,21",SALTO DO JACUI,RS
SALTO DO LONTRA-PR,"-25,78","-53,3",SALTO DO LONTRA,PR
SALTO GRANDE-SP,"-22,89","-49,98",SALTO GRANDE,SP
SALTO VELOSO-SC,"-26,9","-51,4",SALTO VELOSO,SC
SALTO-SP,"-23,2","-47,28",SALTO,SP
SALVADOR DAS MISSOES-RS,"-28,12","-54,83",SALVADOR DAS MISSOES,RS
SALVADOR DO SUL-RS,"-29,43","-51,51",SALVADOR DO SUL,RS
SALVADOR-BA,"-12,97","-38,51",SALVADOR,BA
SALVATERRA-PA,"-0,75","-48,51",SALVATERRA,PA
SAMBAIBA-MA,"-7,14","-45,34",SAMBAIBA,MA
SAMPAIO-TO,"-5,34","-47,87",SAMPAIO,TO
SANANDUVA-RS,"-27,95","-51,8",SANANDUVA,RS
SANCLERLANDIA-GO,"-16,19","-50,31",SANCLERLANDIA,GO
SANDOLANDIA-TO,"-12,53","-49,92",SANDOLANDIA,TO
SANDOVALINA-SP,"-22,45","-51,76",SANDOVALINA,SP
SANGAO-SC,"-28,63","-49,12",SANGAO,SC
SANHARO-PE,"-8,36","-36,56",SANHARO,PE
SANTA ADELIA-SP,"-21,24","-48,8",SANTA ADELIA,SP
SANTA ALBERTINA-SP,"-20,03","-50,72",SANTA ALBERTINA,SP
SANTA AMELIA-PR,"-23,26","-50,42",SANTA AMELIA,PR
SANTA BARBARA DE GOIAS-GO,"-16,57","-49,69",SANTA BARBARA DE GOIAS,GO
SANTA BARBARA DO LESTE-MG,"-19,97","-42,14",SANTA BARBARA DO LESTE,MG
SANTA BARBARA DO MONTE VERDE-MG,"-21,95","-43,7",SANTA BARBARA DO MONTE VERDE,MG
SANTA BARBARA DO PARA-PA,"-1,22","-48,29",SANTA BARBARA DO PARA,PA
SANTA BARBARA DO SUL-RS,"-28,35","-53,24",SANTA BARBARA DO SUL,RS
SANTA BARBARA DO TUGURIO-MG,"-21,24","-43,55",SANTA BARBARA DO TUGURIO,MG
SANTA BARBARA D'OESTE-SP,"-22,75","-47,41",SANTA BARBARA D'OESTE,SP
SANTA BARBARA-BA,"-11,95","-38,97",SANTA BARBARA,BA
SANTA BARBARA-MG,"-19,95","-43,41",SANTA BARBARA,MG
SANTA BRANCA-SP,"-23,39","-45,88",SANTA BRANCA,SP
SANTA BRIGIDA-BA,"-9,73","-38,12",SANTA BRIGIDA,BA
SANTA CARMEM-MT,"-11,91","-55,22",SANTA CARMEM,MT
SANTA CECILIA DE UMBUZEIRO-PB,"-7,73","-35,87",SANTA CECILIA DE UMBUZEIRO,PB
SANTA CECILIA DO PAVAO-PR,"-23,51","-50,78",SANTA CECILIA DO PAVAO,PR
SANTA CECILIA-SC,"-26,96","-50,42",SANTA CECILIA,SC
SANTA CLARA DO SUL-RS,"-29,46","-52,08",SANTA CLARA DO SUL,RS
SANTA CLARA D'OESTE-SP,"-20,08","-50,95",SANTA CLARA D'OESTE,SP
SANTA CRUZ CABRALIA-BA,"-16,27","-39,02",SANTA CRUZ CABRALIA,BA
SANTA CRUZ DA BAIXA VERDE-PE,"-7,82","-38,15",SANTA CRUZ DA BAIXA VERDE,PE
SANTA CRUZ DA CONCEICAO-SP,"-22,14","-47,45",SANTA CRUZ DA CONCEICAO,SP
SANTA CRUZ DA ESPERANCA-SP,"-21,29","-47,43",SANTA CRUZ DA ESPERANCA,SP
SANTA CRUZ DA VITORIA-BA,"-14,96","-39,81",SANTA CRUZ DA VITORIA,BA
SANTA CRUZ DAS PALMEIRAS-SP,"-21,82","-47,24",SANTA CRUZ DAS PALMEIRAS,SP
SANTA CRUZ DE GOIAS-GO,"-17,31","-48,48",SANTA CRUZ DE GOIAS,GO
SANTA CRUZ DE MINAS-MG,"-21,12","-44,22",SANTA CRUZ DE MINAS,MG
SANTA CRUZ DE MONTE CASTELO-PR,"-22,95","-53,29",SANTA CRUZ DE MONTE CASTELO,PR
SANTA CRUZ DE SALINAS-MG,"-16,09","-41,74",SANTA CRUZ DE SALINAS,MG
SANTA CRUZ DO ARARI-PA,"-0,66","-49,17",SANTA CRUZ DO ARARI,PA
SANTA CRUZ DO CAPIBARIBE-PE,"-7,95","-36,2",SANTA CRUZ DO CAPIBARIBE,PE
SANTA CRUZ DO ESCALVADO-MG,"-20,23","-42,81",SANTA CRUZ DO ESCALVADO,MG
SANTA CRUZ DO PIAUI-PI,"-7,18","-41,76",SANTA CRUZ DO PIAUI,PI
SANTA CRUZ DO RIO PARDO-SP,"-22,89","-49,63",SANTA CRUZ DO RIO PARDO,SP
SANTA CRUZ DO SUL-RS,"-29,71","-52,42",SANTA CRUZ DO SUL,RS
SANTA CRUZ DOS MILAGRES-PI,"-5,8","-41,95",SANTA CRUZ DOS MILAGRES,PI
SANTA CRUZ-PB,"-6,53","-38,06",SANTA CRUZ,PB
SANTA CRUZ-PE,"-8,24","-40,33",SANTA CRUZ,PE
SANTA CRUZ-RN,"-6,22","-36,02",SANTA CRUZ,RN
SANTA EFIGENIA DE MINAS-MG,"-18,82","-42,44",SANTA EFIGENIA DE MINAS,MG
SANTA ERNESTINA-SP,"-21,46","-48,39",SANTA ERNESTINA,SP
SANTA FE DE GOIAS-GO,"-15,76","-51,1",SANTA FE DE GOIAS,GO
SANTA FE DE MINAS-MG,"-16,69","-45,41",SANTA FE DE MINAS,MG
SANTA FE DO ARAGUAIA-TO,"-7,15","-48,72",SANTA FE DO ARAGUAIA,TO
SANTA FE DO SUL-SP,"-20,21","-50,92",SANTA FE DO SUL,SP
SANTA FE-PR,"-23,03","-51,8",SANTA FE,PR
SANTA FILOMENA DO MARANHAO-MA,"-5,5","-44,56",SANTA FILOMENA DO MARANHAO,MA
SANTA FILOMENA-PE,"-8,16","-40,61",SANTA FILOMENA,PE
SANTA FILOMENA-PI,"-9,11","-45,92",SANTA FILOMENA,PI
SANTA GERTRUDES-SP,"-22,45","-47,53",SANTA GERTRUDES,SP
SANTA HELENA DE GOIAS-GO,"-17,81","-50,59",SANTA HELENA DE GOIAS,GO
SANTA HELENA DE MINAS-MG,"-16,98","-40,68",SANTA HELENA DE MINAS,MG
SANTA HELENA-MA,"-2,23","-45,3",SANTA HELENA,MA
SANTA HELENA-PB,"-6,72","-38,63",SANTA HELENA,PB
SANTA HELENA-PR,"-24,86","-54,33",SANTA HELENA,PR
SANTA HELENA-SC,"-26,93","-53,61",SANTA HELENA,SC
SANTA INES-BA,"-13,29","-39,81",SANTA INES,BA
SANTA INES-MA,"-3,66","-45,38",SANTA INES,MA
SANTA INES-PB,"-7,62","-38,55",SANTA INES,PB
SANTA INES-PR,"-22,63","-51,9",SANTA INES,PR
SANTA ISABEL DO IVAI-PR,-23,"-53,19",SANTA ISABEL DO IVAI,PR
SANTA ISABEL DO PARA-PA,"-1,29","-48,16",SANTA ISABEL DO PARA,PA
SANTA ISABEL DO RIO NEGRO-AM,"-0,41","-65,01",SANTA ISABEL DO RIO NEGRO,AM
SANTA ISABEL-GO,"-15,29","-49,42",SANTA ISABEL,GO
SANTA ISABEL-SP,"-23,31","-46,22",SANTA ISABEL,SP
SANTA IZABEL DO OESTE-PR,"-25,82","-53,48",SANTA IZABEL DO OESTE,PR
SANTA JULIANA-MG,"-19,3","-47,52",SANTA JULIANA,MG
SANTA LEOPOLDINA-ES,"-20,1","-40,53",SANTA LEOPOLDINA,ES
SANTA LUCIA-PR,"-25,4","-53,56",SANTA LUCIA,PR
SANTA LUCIA-SP,"-21,68","-48,08",SANTA LUCIA,SP
SANTA LUZIA DO ITANHY-SE,"-11,35","-37,44",SANTA LUZIA DO ITANHY,SE
SANTA LUZIA DO NORTE-AL,"-9,6","-35,82",SANTA LUZIA DO NORTE,AL
SANTA LUZIA DO PARA-PA,"-1,51","-46,94",SANTA LUZIA DO PARA,PA
SANTA LUZIA DO PARUA-MA,"-2,62","-45,77",SANTA LUZIA DO PARUA,MA
SANTA LUZIA D'OESTE-RO,"-11,87","-61,78",SANTA LUZIA D'OESTE,RO
SANTA LUZIA-BA,"-15,42","-39,33",SANTA LUZIA,BA
SANTA LUZIA-MA,"-4,06","-45,69",SANTA LUZIA,MA
SANTA LUZIA-MG,"-19,77","-43,85",SANTA LUZIA,MG
SANTA LUZIA-PB,"-6,87","-36,91",SANTA LUZIA,PB
SANTA LUZ-PI,"-8,95","-44,12",SANTA LUZ,PI
SANTA MARGARIDA-MG,"-20,38","-42,25",SANTA MARGARIDA,MG
SANTA MARIA DA BOA VISTA-PE,"-8,8","-39,82",SANTA MARIA DA BOA VISTA,PE
SANTA MARIA DA SERRA-SP,"-22,56","-48,16",SANTA MARIA DA SERRA,SP
SANTA MARIA DA VITORIA-BA,"-13,39","-44,19",SANTA MARIA DA VITORIA,BA
SANTA MARIA DAS BARREIRAS-PA,"-8,85","-49,72",SANTA MARIA DAS BARREIRAS,PA
SANTA MARIA DE ITABIRA-MG,"-19,44","-43,11",SANTA MARIA DE ITABIRA,MG
SANTA MARIA DE JETIBA-ES,"-20,04","-40,74",SANTA MARIA DE JETIBA,ES
SANTA MARIA DO CAMBUCA-PE,"-7,84","-35,9",SANTA MARIA DO CAMBUCA,PE
SANTA MARIA DO HERVAL-RS,"-29,49","-50,99",SANTA MARIA DO HERVAL,RS
SANTA MARIA DO OESTE-PR,"-24,93","-51,86",SANTA MARIA DO OESTE,PR
SANTA MARIA DO PARA-PA,"-1,35","-47,57",SANTA MARIA DO PARA,PA
SANTA MARIA DO SALTO-MG,"-16,24","-40,14",SANTA MARIA DO SALTO,MG
SANTA MARIA DO SUACUI-MG,"-18,19","-42,41",SANTA MARIA DO SUACUI,MG
SANTA MARIA DO TOCANTINS-TO,"-8,79","-47,79",SANTA MARIA DO TOCANTINS,TO
SANTA MARIA MADALENA-RJ,"-21,95",-42,SANTA MARIA MADALENA,RJ
SANTA MARIANA-PR,"-23,15","-50,51",SANTA MARIANA,PR
SANTA MARIA-RN,"-5,84","-35,69",SANTA MARIA,RN
SANTA MARIA-RS,"-29,68","-53,8",SANTA MARIA,RS
SANTA MERCEDES-SP,"-21,35","-51,75",SANTA MERCEDES,SP
SANTA MONICA-PR,"-23,1","-53,1",SANTA MONICA,PR
SANTA QUITERIA DO MARANHAO-MA,"-3,51","-42,54",SANTA QUITERIA DO MARANHAO,MA
SANTA QUITERIA-CE,"-4,33","-40,15",SANTA QUITERIA,CE
SANTA RITA DE CALDAS-MG,"-22,02","-46,33",SANTA RITA DE CALDAS,MG
SANTA RITA DE CASSIA-BA,-11,"-44,51",SANTA RITA DE CASSIA,BA
SANTA RITA DE IBITIPOCA-MG,"-21,56","-43,91",SANTA RITA DE IBITIPOCA,MG
SANTA RITA DE JACUTINGA-MG,"-22,14","-44,09",SANTA RITA DE JACUTINGA,MG
SANTA RITA DE MINAS-MG,"-19,87","-42,13",SANTA RITA DE MINAS,MG
SANTA RITA DO ARAGUAIA-GO,"-17,32","-53,2",SANTA RITA DO ARAGUAIA,GO
SANTA RITA DO ITUETO-MG,"-19,36","-41,38",SANTA RITA DO ITUETO,MG
SANTA RITA DO NOVO DESTINO-GO,"-15,13","-49,12",SANTA RITA DO NOVO DESTINO,GO
SANTA RITA DO PARDO-MS,"-21,3","-52,83",SANTA RITA DO PARDO,MS
SANTA RITA DO PASSA QUATRO-SP,"-21,71","-47,47",SANTA RITA DO PASSA QUATRO,SP
SANTA RITA DO SAPUCAI-MG,"-22,25","-45,7",SANTA RITA DO SAPUCAI,MG
SANTA RITA DO TOCANTINS-TO,"-10,86","-48,91",SANTA RITA DO TOCANTINS,TO
SANTA RITA D'OESTE-SP,"-20,14","-50,83",SANTA RITA D'OESTE,SP
SANTA RITA-MA,"-3,14","-44,32",SANTA RITA,MA
SANTA RITA-PB,"-7,11","-34,97",SANTA RITA,PB
SANTA ROSA DA SERRA-MG,"-19,53","-45,96",SANTA ROSA DA SERRA,MG
SANTA ROSA DE GOIAS-GO,"-16,08","-49,49",SANTA ROSA DE GOIAS,GO
SANTA ROSA DE LIMA-SC,"-28,03","-49,12",SANTA ROSA DE LIMA,SC
SANTA ROSA DE LIMA-SE,"-10,64","-37,19",SANTA ROSA DE LIMA,SE
SANTA ROSA DE VITERBO-SP,"-21,47","-47,36",SANTA ROSA DE VITERBO,SP
SANTA ROSA DO PIAUI-PI,"-6,79","-42,28",SANTA ROSA DO PIAUI,PI
SANTA ROSA DO PURUS-AC,"-9,43","-70,49",SANTA ROSA DO PURUS,AC
SANTA ROSA DO SUL-SC,"-29,13","-49,7",SANTA ROSA DO SUL,SC
SANTA ROSA DO TOCANTINS-TO,"-11,44","-48,12",SANTA ROSA DO TOCANTINS,TO
SANTA ROSA-RS,"-27,87","-54,48",SANTA ROSA,RS
SANTA SALETE-SP,"-20,24","-50,68",SANTA SALETE,SP
SANTA TERESA-ES,"-19,93","-40,6",SANTA TERESA,ES
SANTA TERESINHA-BA,"-12,77","-39,52",SANTA TERESINHA,BA
SANTA TERESINHA-PB,"-7,11","-37,45",SANTA TERESINHA,PB
SANTA TEREZA DE GOIAS-GO,"-13,71","-49,01",SANTA TEREZA DE GOIAS,GO
SANTA TEREZA DO OESTE-PR,"-25,05","-53,63",SANTA TEREZA DO OESTE,PR
SANTA TEREZA DO TOCANTINS-TO,"-10,28","-47,8",SANTA TEREZA DO TOCANTINS,TO
SANTA TEREZA-RS,"-29,16","-51,73",SANTA TEREZA,RS
SANTA TEREZINHA DE GOIAS-GO,"-14,43","-49,7",SANTA TEREZINHA DE GOIAS,GO
SANTA TEREZINHA DE ITAIPU-PR,"-25,36","-54,48",SANTA TEREZINHA DE ITAIPU,PR
SANTA TEREZINHA DO PROGRESSO-SC,"-26,61","-53,2",SANTA TEREZINHA DO PROGRESSO,SC
SANTA TEREZINHA DO TOCANTINS-TO,"-6,43","-47,67",SANTA TEREZINHA DO TOCANTINS,TO
SANTA TEREZINHA-MT,"-10,47","-50,5",SANTA TEREZINHA,MT
SANTA TEREZINHA-PE,"-7,37","-37,48",SANTA TEREZINHA,PE
SANTA TEREZINHA-SC,"-26,77",-50,SANTA TEREZINHA,SC
SANTA VITORIA DO PALMAR-RS,"-33,51","-53,36",SANTA VITORIA DO PALMAR,RS
SANTA VITORIA-MG,"-18,83","-50,12",SANTA VITORIA,MG
SANTALUZ-BA,"-11,25","-39,37",SANTALUZ,BA
SANTANA DA BOA VISTA-RS,"-30,87","-53,11",SANTANA DA BOA VISTA,RS
SANTANA DA PONTE PENSA-SP,"-20,25","-50,79",SANTANA DA PONTE PENSA,SP
SANTANA DA VARGEM-MG,"-21,24","-45,5",SANTANA DA VARGEM,MG
SANTANA DE CATAGUASES-MG,"-21,28","-42,55",SANTANA DE CATAGUASES,MG
SANTANA DE MANGUEIRA-PB,"-7,55","-38,33",SANTANA DE MANGUEIRA,PB
SANTANA DE PARNAIBA-SP,"-23,44","-46,91",SANTANA DE PARNAIBA,SP
SANTANA DE PIRAPAMA-MG,-19,"-44,04",SANTANA DE PIRAPAMA,MG
SANTANA DO ACARAU-CE,"-3,46","-40,21",SANTANA DO ACARAU,CE
SANTANA DO ARAGUAIA-PA,"-9,5","-50,62",SANTANA DO ARAGUAIA,PA
SANTANA DO CARIRI-CE,"-7,18","-39,73",SANTANA DO CARIRI,CE
SANTANA DO DESERTO-MG,"-21,95","-43,16",SANTANA DO DESERTO,MG
SANTANA DO GARAMBEU-MG,"-21,6","-44,1",SANTANA DO GARAMBEU,MG
SANTANA DO IPANEMA-AL,"-9,37","-37,24",SANTANA DO IPANEMA,AL
SANTANA DO ITARARE-PR,"-23,75","-49,62",SANTANA DO ITARARE,PR
SANTANA DO JACARE-MG,"-20,89","-45,13",SANTANA DO JACARE,MG
SANTANA DO LIVRAMENTO-RS,"-30,89","-55,53",SANTANA DO LIVRAMENTO,RS
SANTANA DO MANHUACU-MG,"-20,1","-41,92",SANTANA DO MANHUACU,MG
SANTANA DO MARANHAO-MA,"-3,11","-42,41",SANTANA DO MARANHAO,MA
SANTANA DO MATOS-RN,"-5,95","-36,65",SANTANA DO MATOS,RN
SANTANA DO MUNDAU-AL,"-9,16","-36,22",SANTANA DO MUNDAU,AL
SANTANA DO PARAISO-MG,"-19,36","-42,56",SANTANA DO PARAISO,MG
SANTANA DO PIAUI-PI,"-6,94","-41,51",SANTANA DO PIAUI,PI
SANTANA DO RIACHO-MG,"-19,16","-43,71",SANTANA DO RIACHO,MG
SANTANA DO SAO FRANCISCO-SE,"-10,29","-36,6",SANTANA DO SAO FRANCISCO,SE
SANTANA DO SERIDO-RN,"-6,77","-36,73",SANTANA DO SERIDO,RN
SANTANA DOS GARROTES-PB,"-7,38","-37,98",SANTANA DOS GARROTES,PB
SANTANA DOS MONTES-MG,"-20,78","-43,69",SANTANA DOS MONTES,MG
SANTANA-AP,"-0,05","-51,18",SANTANA,AP
SANTANA-BA,"-12,98","-44,05",SANTANA,BA
SANTANOPOLIS-BA,"-12,01","-38,86",SANTANOPOLIS,BA
SANTAREM NOVO-PA,"-0,92","-47,39",SANTAREM NOVO,PA
SANTAREM-PA,"-2,44","-54,7",SANTAREM,PA
SANTAREM-PB,"-6,49","-38,47",SANTAREM,PB
SANTIAGO DO SUL-SC,"-26,63","-52,68",SANTIAGO DO SUL,SC
SANTIAGO-RS,"-29,19","-54,86",SANTIAGO,RS
SANTO AFONSO-MT,"-14,49",-57,SANTO AFONSO,MT
SANTO AMARO DA IMPERATRIZ-SC,"-27,68","-48,77",SANTO AMARO DA IMPERATRIZ,SC
SANTO AMARO DAS BROTAS-SE,"-10,78","-37,05",SANTO AMARO DAS BROTAS,SE
SANTO AMARO DO MARANHAO-MA,"-2,5","-43,25",SANTO AMARO DO MARANHAO,MA
SANTO AMARO-BA,"-12,54","-38,71",SANTO AMARO,BA
SANTO ANASTACIO-SP,"-21,97","-51,65",SANTO ANASTACIO,SP
SANTO ANDRE-PB,"-7,21","-36,63",SANTO ANDRE,PB
SANTO ANDRE-SP,"-23,66","-46,53",SANTO ANDRE,SP
SANTO ANGELO-RS,"-28,29","-54,26",SANTO ANGELO,RS
SANTO ANTONIO DA ALEGRIA-SP,"-21,08","-47,15",SANTO ANTONIO DA ALEGRIA,SP
SANTO ANTONIO DA BARRA-GO,"-17,56","-50,63",SANTO ANTONIO DA BARRA,GO
SANTO ANTONIO DA PATRULHA-RS,"-29,81","-50,52",SANTO ANTONIO DA PATRULHA,RS
SANTO ANTONIO DA PLATINA-PR,"-23,29","-50,07",SANTO ANTONIO DA PLATINA,PR
SANTO ANTONIO DAS MISSOES-RS,"-28,51","-55,22",SANTO ANTONIO DAS MISSOES,RS
SANTO ANTONIO DE GOIAS-GO,"-16,48","-49,31",SANTO ANTONIO DE GOIAS,GO
SANTO ANTONIO DE JESUS-BA,"-12,96","-39,26",SANTO ANTONIO DE JESUS,BA
SANTO ANTONIO DE LISBOA-PI,"-6,98","-41,23",SANTO ANTONIO DE LISBOA,PI
SANTO ANTONIO DE PADUA-RJ,"-21,53","-42,18",SANTO ANTONIO DE PADUA,RJ
SANTO ANTONIO DE POSSE-SP,"-22,6","-46,91",SANTO ANTONIO DE POSSE,SP
SANTO ANTONIO DO AMPARO-MG,"-20,94","-44,91",SANTO ANTONIO DO AMPARO,MG
SANTO ANTONIO DO ARACANGUA-SP,"-20,93","-50,49",SANTO ANTONIO DO ARACANGUA,SP
SANTO ANTONIO DO AVENTUREIRO-MG,"-21,75","-42,81",SANTO ANTONIO DO AVENTUREIRO,MG
SANTO ANTONIO DO CAIUA-PR,"-22,73","-52,34",SANTO ANTONIO DO CAIUA,PR
SANTO ANTONIO DO DESCOBERTO-GO,"-15,94","-48,25",SANTO ANTONIO DO DESCOBERTO,GO
SANTO ANTONIO DO GRAMA-MG,"-20,31","-42,6",SANTO ANTONIO DO GRAMA,MG
SANTO ANTONIO DO ICA-AM,"-3,1","-67,94",SANTO ANTONIO DO ICA,AM
SANTO ANTONIO DO ITAMBE-MG,"-18,46","-43,3",SANTO ANTONIO DO ITAMBE,MG
SANTO ANTONIO DO JACINTO-MG,"-16,53","-40,17",SANTO ANTONIO DO JACINTO,MG
SANTO ANTONIO DO JARDIM-SP,"-22,11","-46,68",SANTO ANTONIO DO JARDIM,SP
SANTO ANTONIO DO LEVERGER-MT,"-15,86","-56,07",SANTO ANTONIO DO LEVERGER,MT
SANTO ANTONIO DO MONTE-MG,"-20,08","-45,29",SANTO ANTONIO DO MONTE,MG
SANTO ANTONIO DO PALMA-RS,"-28,49","-52,02",SANTO ANTONIO DO PALMA,RS
SANTO ANTONIO DO PARAISO-PR,"-23,49","-50,64",SANTO ANTONIO DO PARAISO,PR
SANTO ANTONIO DO PINHAL-SP,"-22,82","-45,66",SANTO ANTONIO DO PINHAL,SP
SANTO ANTONIO DO PLANALTO-RS,"-28,39","-52,69",SANTO ANTONIO DO PLANALTO,RS
SANTO ANTONIO DO RETIRO-MG,"-15,33","-42,62",SANTO ANTONIO DO RETIRO,MG
SANTO ANTONIO DO RIO ABAIXO-MG,"-19,22","-43,25",SANTO ANTONIO DO RIO ABAIXO,MG
SANTO ANTONIO DO SUDOESTE-PR,"-26,07","-53,72",SANTO ANTONIO DO SUDOESTE,PR
SANTO ANTONIO DO TAUA-PA,"-1,15","-48,12",SANTO ANTONIO DO TAUA,PA
SANTO ANTONIO DOS LOPES-MA,"-4,86","-44,36",SANTO ANTONIO DOS LOPES,MA
SANTO ANTONIO DOS MILAGRES-PI,"-6,04","-42,71",SANTO ANTONIO DOS MILAGRES,PI
SANTO ANTONIO-RN,"-6,31","-35,47",SANTO ANTONIO,RN
SANTO AUGUSTO-RS,"-27,85","-53,77",SANTO AUGUSTO,RS
SANTO CRISTO-RS,"-27,82","-54,66",SANTO CRISTO,RS
SANTO ESTEVAO-BA,"-12,43","-39,25",SANTO ESTEVAO,BA
SANTO EXPEDITO DO SUL-RS,"-27,9","-51,64",SANTO EXPEDITO DO SUL,RS
SANTO EXPEDITO-SP,"-21,85","-51,39",SANTO EXPEDITO,SP
SANTO HIPOLITO-MG,"-18,29","-44,22",SANTO HIPOLITO,MG
SANTO INACIO DO PIAUI-PI,"-7,43","-41,91",SANTO INACIO DO PIAUI,PI
SANTO INACIO-PR,"-22,69","-51,79",SANTO INACIO,PR
SANTOPOLIS DO AGUAPEI-SP,"-21,63","-50,5",SANTOPOLIS DO AGUAPEI,SP
SANTOS DUMONT-MG,"-21,45","-43,55",SANTOS DUMONT,MG
SANTOS-SP,"-23,96","-46,33",SANTOS,SP
SAO BENEDITO DO RIO PRETO-MA,"-3,33","-43,52",SAO BENEDITO DO RIO PRETO,MA
SAO BENEDITO DO SUL-PE,"-8,8","-35,95",SAO BENEDITO DO SUL,PE
SAO BENEDITO-CE,"-4,04","-40,86",SAO BENEDITO,CE
SAO BENTO ABADE-MG,"-21,58","-45,07",SAO BENTO ABADE,MG
SAO BENTO DE POMBAL-PB,"-6,9","-37,72",SAO BENTO DE POMBAL,PB
SAO BENTO DO NORTE-RN,"-5,07","-36,06",SAO BENTO DO NORTE,RN
SAO BENTO DO SAPUCAI-SP,"-22,68","-45,73",SAO BENTO DO SAPUCAI,SP
SAO BENTO DO SUL-SC,"-26,25","-49,37",SAO BENTO DO SUL,SC
SAO BENTO DO TOCANTINS-TO,"-5,91","-48,06",SAO BENTO DO TOCANTINS,TO
SAO BENTO DO TRAIRI-RN,"-6,34","-36,08",SAO BENTO DO TRAIRI,RN
SAO BENTO DO UNA-PE,"-8,52","-36,44",SAO BENTO DO UNA,PE
SAO BENTO-MA,"-2,69","-44,82",SAO BENTO,MA
SAO BENTO-PB,"-6,48","-37,45",SAO BENTO,PB
SAO BERNARDINO-SC,"-26,47","-52,96",SAO BERNARDINO,SC
SAO BERNARDO DO CAMPO-SP,"-23,69","-46,56",SAO BERNARDO DO CAMPO,SP
SAO BERNARDO-MA,"-3,36","-42,41",SAO BERNARDO,MA
SAO BONIFACIO-SC,"-27,9","-48,92",SAO BONIFACIO,SC
SAO BORJA-RS,"-28,66",-56,SAO BORJA,RS
SAO BRAS DO SUACUI-MG,"-20,62","-43,94",SAO BRAS DO SUACUI,MG
SAO BRAS-AL,"-10,12","-36,9",SAO BRAS,AL
SAO BRAZ DO PIAUI-PI,"-8,96",-43,SAO BRAZ DO PIAUI,PI
SAO CAETANO DE ODIVELAS-PA,"-0,75","-48,02",SAO CAETANO DE ODIVELAS,PA
SAO CAETANO DO SUL-SP,"-23,62","-46,55",SAO CAETANO DO SUL,SP
